School Name,address,postal_code,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,Latitude,Longitude,Full Address
HORIZON PRIMARY SCHOOL,61 Edgedale Plains   ,828819,67523971,na,horizon_ps@moe.edu.sg,Punggol MRT Station (NE17); (LRT: Kadaloor [PE5] or Oasis [PE6]),"3, 50, 83, 85, 569",MADAM CHIA HUI KHIM,"MISS SEET SIEW LIN, PAMELA",MADAM SENTHIL POONKODI D/O R K,MR PHANG CHEE KHENG,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.399550034,103.913404855665,61 EDGEDALE PLAINS HORIZON PRIMARY SCHOOL SINGAPORE 828819
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93   ,534238,64897446,na,HOUGANG_PS@MOE.EDU.SG,"Ang Mo Kio, Buangkok, Hougang, Sengkang, Yio Chu Kang","SBS 43, 72, 88, 101, 109, 116, 156, 159, 325, 329","MR GOH WAI MIN, JASON",MISS LIEW PANG HAI,MADAM SHARIFAH FAIRUZ BTE S Y A,MADAM LIM SIEW GIM,na,na,na,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.37738245231461,103.880805274557,1 HOUGANG STREET 93 HOUGANG PRIMARY SCHOOL SINGAPORE 534238
HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93   ,534256,63852015,na,HOUGANG_SS@MOE.EDU.SG,"HOUGANG MRT, BUANGKOK MRT","43, 88, 101, 109, 156, 159, 161, 325, 329",MR LEE THUAN SIM,MR LIM SOON WAI,MR TAY YUAN ZHUANG,na,na,na,na,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.37764019332164,103.882533963338,2 HOUGANG STREET 93 HOUGANG SECONDARY SCHOOL SINGAPORE 534256
HUA YI SECONDARY SCHOOL,60 JURONG WEST ST 42   ,649371,65634505,na,HYSS@MOE.EDU.SG,"LAKESIDE MRT, CHINESE GARDEN MRT","49, 98, 98B, 98M, 99, 157, 185, 187, 198, 198A, 334, 335, 502",DR. LIM SIEW YEE,MADAM TAN KAY BIN,MR NG JOO KOON,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.35234365488339,103.721832320169,60 JURONG WEST STREET 42 HUA YI SECONDARY SCHOOL SINGAPORE 649371
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11   ,768857,67552455,na,HUAMIN_PS@MOE.EDU.SG,Yishun MRT Station,"806, 804",MADAM LOE LAI PINK,MADAM BALAKRISHNAN CORINNE ANNE,MR HONG CHIN KEAT,MR LEE LIN CHIEH,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.42697284512936,103.844240226564,21 YISHUN AVENUE 11 HUAMIN PRIMARY SCHOOL SINGAPORE 768857
HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD   ,269734,67695857,na,admin@hci.edu.sg,TAN KAH KEE MRT,"66, 67, 74, 151, 154, 156, 157, 170, 170A, 174, 852, 961, 961M",MR LEE PECK PING,MR CHAN KWOK LEONG,MRS CHIN-LEOW BEE KUAN,MISS HO PING PING,DR LIM HONG SENG MELVYN,MISS HOW LAI YIN DEBORAH,MDM LIM MIAU TENG CHERYL,BUKIT TIMAH,WEST,INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL (S1-JC2),Yes,No,Yes,Yes,CHINESE,na,na,1.32588867455552,103.800747204253,673 BUKIT TIMAH ROAD HWA CHONG INSTITUTION SINGAPORE 269735
INNOVA PRIMARY SCHOOL,80 Woodlands Drive 17   ,737888,68942573,na,innova_pri@moe.edu.sg,Woodlands,"900A (weekdays only - 7.00 am to 8.30 am & 4.30 pm to 6.30 pm), 901",MR YEE YEW LOONG,MR LAU YEAN HUI,na,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.42896700684852,103.790607539185,80 WOODLANDS DRIVE 17 INNOVA PRIMARY SCHOOL SINGAPORE 737888
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71   ,768515,67559958,na,JIEMIN_PS@MOE.EDU.SG,Yishun MRT Station,"167, 169, 171, 800, 811, 812, 856, 858, 859, 969, 980",MR ANDY MICKEY CHOONG TEK CHOY,MRS NUR FATIMAH BTE ABDUL MALIK MRS NUR FATIMAH FRAUDER,MISS WONG KAH WAN JOY,na,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.42768847665227,103.830425490093,2 YISHUN STREET 71 JIEMIN PRIMARY SCHOOL SINGAPORE 768515
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52   ,569228,64581619,na,JSPS@MOE.EDU.SG,Ang Mo Kio MRT,Bus 265,MADAM BOEY HUEY PENG SHARON,MISS NG SUAT THENG ANGELA,MR JONATHON LOH,MISS LIM EE LENG ELLEN,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.37223290983498,103.852132214306,5 ANG MO KIO STREET 52 JING SHAN PRIMARY SCHOOL SINGAPORE 569228
JUNYUAN PRIMARY SCHOOL,2 Tampines Street 91   ,528906,67887395,na,JUNYUAN_PS@MOE.EDU.SG,Tampines West (Downtown Line); Tampines (East-West Line),"76281: 46, 65, 129; 76061: 10, 15, 20, 21, 23, 27, 31, 34, 39, 67, 168, 292; 75051: 5, 8, 15, 18, 21, 23, 28, 59, 67, 118, 168, 513, 518",MR CHAN WENG CHEONG,MRS CHEANG MENG TSING,MADAM CHUT SHI LIN,MR WILLIAM CHUE WAI LEONG,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.34787074766746,103.939221709073,2 TAMPINES STREET 91 JUNYUAN PRIMARY SCHOOL SINGAPORE 528906
JUNYUAN SECONDARY SCHOOL,11 TAMPINES STREET 84   ,528933,na,na,JUNYUAN_SS@MOE.EDU.SG,"TAMPINES MRT, TAMPINES WEST MRT","69, 291, 293, 46",MR TAY MENG KIAT,MR LIN PEI,MR GAN THIAM SOON ALLAN,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.35361315263537,103.933886165824,11 TAMPINES STREET 84 JUNYUAN SECONDARY SCHOOL SINGAPORE 528933
JURONG PIONEER JUNIOR COLLEGE,21 Teck Whye Walk   ,688258,67651861,na,jpjc@moe.edu.sg,Choa Chu Kang / Bt Panjang / Phoenix Station (LRT),"975, 190, 985",MR KEVIN ANG,MRS LEE BEE CHEOW,MR NAH HONG LEONG,MR POW TIEN MIN JARON,MR PHUA YONG SWEE,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,CHINESE,MALAY,TAMIL,1.38437406410733,103.75437461519,21 TECK WHYE WALK JURONG PIONEER JUNIOR COLLEGE SINGAPORE 688258
JURONG PRIMARY SCHOOL,320 JURONG EAST Street 32   ,609476,65641964,na,JPS@MOE.EDU.SG,"Lakeside MRT Station, Jurong East MRT Station",333,MR LEONARD CHUA,MISS TAN PEIRU,MR TAN YUAN SHIN,na,na,na,na,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.34843859698946,103.733156566858,320 JURONG EAST STREET 32 JURONG PRIMARY SCHOOL SINGAPORE 609476
JURONG SECONDARY SCHOOL,31 YUAN CHING ROAD   ,618652,62686414,na,JURONG_SS@MOE.EDU.SG,LAKESIDE MRT,"30, 49, 98, 154, 240, 246",MISS YEO SIOK EE,MADAM LER SIAH WOON JULIA,MR LU YEOW CHOR,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.33002032220942,103.723952961648,31 YUAN CHING ROAD JURONG SECONDARY SCHOOL SINGAPORE 618652
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61   ,648368,67936593,na,JWPS@MOE.EDU.SG,Pioneer MRT Station,192,MRS CHRISTINA LIM LAY LENG,MADAM SIM EE KOON PATRICIA,MISS TAN WAN KHENG,MR LIM CHIN GUAN,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.33917519796104,103.698803732244,30 JURONG WEST STREET 61 JURONG WEST PRIMARY SCHOOL SINGAPORE 648368
JURONG WEST SECONDARY SCHOOL,61 JURONG WEST STREET 65   ,648348,62623587,na,JWSS@MOE.EDU.SG,"BOON LAY MRT, PIONEER MRT","30, 154, 157, 180, 187, 198, 242",MISS TAN MING MING,MS TAN JIING SHYUAN,MDM ZARINA BINTE AMIR,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.33525634688323,103.702098904443,61 JURONG WEST STREET 65 JURONG WEST SECONDARY SCHOOL SINGAPORE 648348
JURONGVILLE SECONDARY SCHOOL,202 JURONG EAST AVENUE 1   ,609790,65662137,na,JURONGVILLE@MOE.EDU.SG,"JURONG EAST MRT, LAKESIDE MRT","98, 98M, 99, 157, 185, 187, 198, 334, 502",MR LEOW ZHI WEN PHILIBERT,MR YONG KEK SHOONG,MISS IBAIDAH BINTE IBRAHIM,na,na,na,na,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.35128862770284,103.728907710089,202 JURONG EAST AVENUE 1 JURONGVILLE SECONDARY SCHOOL SINGAPORE 609790
JUYING SECONDARY SCHOOL,33 JURONG WEST STREET 91   ,649038,67932835,na,JUYING_SS@MOE.EDU.SG,"BOON LAY MRT, PIONEER MRT, JOO KOON MRT","99, 241",MR ANG CHERN KWANG,MR NG HAN MING,MR CHUA YEW WEI,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.3387227734133,103.687310264575,33 JURONG WEST STREET 91 JUYING SECONDARY SCHOOL SINGAPORE 649038
MEE TOH SCHOOL,21 EDGEDALE PLAINS   ,828867,64893243,na,MEETOH_SCH@MOE.EDU.SG,Punggol Station,"3,62,83,381",MR TAY HSIEN CHUAN KELVIN,MISS HUANG YILAN LYNNE,MR LEE CHONG TART RONALD,MR NG KOK HENG,na,na,na,PUNGGOL,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.3946184538592,103.908589494228,21 EDGEDALE PLAINS MEE TOH SCHOOL SINGAPORE 828867
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6   ,659762,65632356,na,KMPS@MOE.EDU.SG,Bukit Batok,"61,66,77,106,157,174,178,963",MRS MRS YAP DAI JEE,MS LEOW MEI LENG (LIU MEICEN),MISS NG MEI YUN,na,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.34552849960874,103.756449399351,90 BUKIT BATOK EAST AVENUE 6 KEMING PRIMARY SCHOOL SINGAPORE 659762
KENT RIDGE SECONDARY SCHOOL,147 WEST COAST ROAD   ,127368,67735119,na,KRSS@MOE.EDU.SG,"CLEMENTI MRT, HAW PAR VILLA MRT","30, 51, 143, 175, 176, 201, 282",MADAM GOH MIEN HUI VALERIE,MADAM YAP SHARON,"MR POH LEONG BERG, ALBERT",na,na,na,na,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,na,1.30122773426098,103.764889617566,147 WEST COAST ROAD KENT RIDGE SECONDARY SCHOOL SINGAPORE 127368
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH   ,319580,62556569,na,KCS@MOE.EDU.SG,Braddell,"SBS 235,56,73,88,157,159,163,231,",MADAM TAN HUILING CHERYL,MR KHOO GHEE HAN,MR PUN KIAN PENG,na,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.3373381935639,103.847148501824,15 LORONG 3 TOA PAYOH KHENG CHENG SCHOOL SINGAPORE 319580
KONG HWA SCHOOL,350 GUILLEMARD ROAD   ,399772,63421120,na,KONGHWA_SCH@MOE.EDU.SG,Dakota,"Service 7,70,70M,197(to Guillemard Road)",MR POON SIOW LENG RAYMOND,MADAM UE TAY SZE YIN,MADAM TEO SIEW KHIM,MADAM NG BEE HOON,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na,1.31099674009193,103.888352029067,350 GUILLEMARD ROAD KONG HWA SCHOOL SINGAPORE 399772
KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54   ,689189,67634568,na,KRANJI_PS@MOE.EDU.SG,Yew Tee MRT,"Bus No 307, 302",MADAM GOH MEEI YUNN,MR SATHYA PRASAD S/O G,MADAM WONG SEOW LING,MADAM LEE LENG HUI (LI LINGHUI),na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.39356050497104,103.747362720939,11 CHOA CHU KANG STREET 54 KRANJI PRIMARY SCHOOL SINGAPORE 689189
KRANJI SECONDARY SCHOOL,61 CHOA CHU KANG STREET 51   ,689333,67662095,na,KRANJI_SS@MOE.EDU.SG,"CHOA CHU KANG MRT, YEW TEE MRT","302, 974, 979",MR CHUA LEK HONG,MR KOO TIANNUO,MADAM ONG LAY LING,na,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.39005109871311,103.741190664845,61 CHOA CHU KANG STREET 51 KRANJI SECONDARY SCHOOL SINGAPORE 689333
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13   ,579793,62588012,na,KCPPS@MOE.EDU.SG,Bishan MRT Station,"54, 56, 410, 410G",MADAM YEE-TOH GEK KHIAW,MISS LIN HUIXIN SHARON,MR TAN CHIN HENG,na,na,na,na,BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.34978223750981,103.85452928785,8B BISHAN STREET 13 KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 579802
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10 BISHAN STREET 13   ,579795,63536535,na,KCPSS@MOE.EDU.SG,BISHAN MRT,"54, 56, 410G, 410W",MR JUSTIN TAN,MADAM LEE CHUI ENG,MR EKA TANU,MR PHANG TECK KING,na,na,na,BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.35017129930314,103.854983746416,10 BISHAN STREET 13 KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL SINGAPORE 579795
LAKESIDE PRIMARY SCHOOL,161 Corporation Walk   ,618310,62621021,na,lakeside_ps@moe.edu.sg,Lakeside MRT,"30, 49, 98, 98M",MADAM YAP SIU LIN,MISS HAN MINGFANG CHARMAIN,MISS TAN HUI PING,MADAM CHUA LENG LENG (CAI LINGLING),na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.33820397704287,103.718089546664,161 CORPORATION WALK LAKESIDE PRIMARY SCHOOL SINGAPORE 618310
LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52   ,659243,65639591,na,LIANHUA_PS@MOE.EDU.SG,Bukit Gombak/Bukit Batok,945,MISS KIEW HUI LI PAMELA,MADAM MAVIS SIEW SOOK LING,MADAM TAN WAN PHING JANICE,"MR LEE TZE WEI, JEFFREY",na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.35424191127295,103.754165828711,2 BUKIT BATOK STREET 52 LIANHUA PRIMARY SCHOOL SINGAPORE 659243
LOYANG VIEW SECONDARY SCHOOL,12 PASIR RIS STREET 11   ,519073,65810557,na,loyangview_ss@moe.edu.sg,PASIR RIS MRT,"12, 21, 39, 53, 81, 109, 359, 518",MR LIN YUCHENG EUGENE,MS SAADIAH SAADON WYLDE,MADAM TAN SHAO MAY,MISS LIEW XUE TING ADELINE,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.36658417167238,103.956944585725,12 PASIR RIS STREET 11 LOYANG VIEW SECONDARY SCHOOL SINGAPORE 519073
MAHA BODHI SCHOOL,10 UBI AVENUE 1   ,408931,67443752,na,MBS@MOE.EDU.SG,"Eunos Station (Transfer Bus No.63, 63M); Ubi Station (Transfer Bus No. 137)","5,8,15,22,25,45,51,55,59,61,63,63M,65,66,93,94,137,854",MADAM TENG LAI KWAN,MR WEE HOCK MENG VICTOR,MR YE JIAMING AARON,MADAM LENG BING LING (LIANG BINGLING),na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na,1.32858023873554,103.901306904157,10 UBI AVENUE 1 AFTER SCHOOL @ MAHA BODHI SCHOOL SINGAPORE 408931
MANJUSRI SECONDARY SCHOOL,20 UBI AVENUE 1   ,408940,67454492,na,MANJUSRI_SS@MOE.EDU.SG,"UBI MRT, MACPHERSON MRT","5, 8, 15, 22, 25, 45, 51, 55, 59, 61, 63, 63M, 65, 66, 93, 94, 137, 854",MR SIM CHONG BOON,MR LIN JUNKAI,MR GOH PAI SHEN,na,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,na,1.32747123084846,103.901719963831,20 UBI AVENUE 1 MANJUSRI SECONDARY SCHOOL SINGAPORE 408940
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD   ,368051,62886905 (Sec),62827905 (Pri),MSH@MOE.EDU.SG,BARTLEY MRT,"28, 93, 129, 158",MR BOY ENG SENG,MRS LIM QING YI,MR PAN JINGLIU,MR TAN CHING HUAT,MDM ANG CHWEE YING PEARLY,MR LEE KO YONG,na,TOA PAYOH,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,MIXED LEVEL (P1-S4),Yes,Yes,No,No,CHINESE,na,na,1.34138832211757,103.877823816158,25 MOUNT VERNON ROAD MARIS STELLA HIGH SCHOOL SINGAPORE 368051
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD   ,738927,62699050,na,MARSILING_PS@MOE.EDU.SG,Marsiling MRT Station,"856, 911, 912",MADAM HEATHER SIM SIAW CHENG,MR JACKSON KEK,na,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.43383904037059,103.773643013846,31 WOODLANDS CENTRE ROAD MARSILING PRIMARY SCHOOL SINGAPORE 738927
MARSILING SECONDARY SCHOOL,12 MARSILING ROAD   ,739110,68946156,na,MARSILING_SS@MOE.EDU.SG,MARSILING MRT,"913, 911",MR KOH YIAK KHENG,MR MOHAMED NASIM S/O ABDUL RAHIM,MR TAN TONG AIK,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.43664424769955,103.776008090454,12 MARSILING ROAD MARSILING SECONDARY SCHOOL SINGAPORE 739110
MARYMOUNT CONVENT SCHOOL,20 Marymount Road   ,297754,6254 3080,na,MMCS@MOE.EDU.SG,Braddell MRT Station or Caldecott MRT Station,"141, 235",MISS CHEONG HWEE KHIM,MRS HING SZE MEING DEBBIE (XING SIMIN DEBBIE),MADAM TAN MEI MEI ANNA,MR LOH YEH CHANG HENRY,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.34036676987375,103.840021064426,20 MARYMOUNT ROAD MARYMOUNT CONVENT SCHOOL SINGAPORE 297754
MAYFLOWER PRIMARY SCHOOL,200 Ang Mo Kio Avenue 5   ,569878,64534116,na,MAYFLOWER_PS@MOE.EDU.SG,Yio Chu Kang MRT Station.,"13,86,138,162,269,851,852,853.",MISS CECILIA LIM SEOK CHENG,MADAM CHNG HWUI LIN WINEFREDE,MRS SANTHI D/O K RAMACHANDRAN,MR KWOK KENG LIAN,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.37637683547682,103.843252803742,200 ANG MO KIO AVENUE 5 MAYFLOWER PRIMARY SCHOOL SINGAPORE 569878
MAYFLOWER SECONDARY SCHOOL,2 ANG MO KIO STREET 21   ,569384,64583284,na,MAYFLOWER_SS@MOE.EDU.SG,"ANG MO KIO MRT, MAYFLOWER MRT","71, 76, 132, 165, 166, 169, 262, 265, 268, 269",MR LIM YU KEE,MR GOH KENG TENG,MR PRASHANT S/O JAYAPRAGAS,MADAM NUR HIDAYANI IBRAHIM,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.36827266209722,103.835360726863,2 ANG MO KIO STREET 21 MAYFLOWER SECONDARY SCHOOL SINGAPORE 569384
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71   ,518798,65834993,na,MERIDIAN_PS@MOE.EDU.SG,Pasir Ris MRT Station,"3,359",MDM CHEW SIANG JIUN,MR LIM KIM MIN (LIN JINMIN),MR WANG TAI WEE,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.37552831658484,103.934889078518,20 PASIR RIS STREET 71 MERIDIAN PRIMARY SCHOOL SINGAPORE 518798
MERIDIAN SECONDARY SCHOOL,31 PASIR RIS STREET 51   ,518901,65836467,na,meridian_sec@moe.edu.sg,PASIR RIS MRT,"39, 53, 81, 89, 109, 359, 403, 518",MR MOHAMED RAZALI B ABDUL HAMED,MISS TAN LI PING,MRS TAY NGEE SEEW,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.3672468492013,103.948972483629,31 PASIR RIS STREET 51 MERIDIAN SECONDARY SCHOOL SINGAPORE 518901
METHODIST GIRLS' SCHOOL (PRIMARY),11 Blackmore Drive   ,599986,64624166,na,MGPS@MOE.EDU.SG,King Albert Park MRT,"66, 67, 74, 77, 151, 154, 157, 170, 171, 174, 852, 961, 970",KOH MING-LI VALARIE,MADAM YEOW CHERN EE,"MR TENG TAT MENG, CHARLES",na,na,na,na,BUKIT TIMAH,WEST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.34947276268396,103.884971343143,298 LORONG AH SOO PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY) SINGAPORE 536741
METHODIST GIRLS' SCHOOL (SECONDARY),11 BLACKMORE DRIVE   ,599986,64698717,na,MGSS@MOE.EDU.SG,KING ALBERT PARK MRT,"66, 67, 74, 77, 151, 154, 157, 170, 174, 852, 961, 970",MADAM KOH MING- LI VALARIE,MADAM CHNG YI NA @MRS WRIGHT YI NA,MDM TAN P'ENG DIANA,MR YIP WAI CHOONG,na,na,na,BUKIT TIMAH,WEST,INDEPENDENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),No,No,No,Yes,CHINESE,MALAY,TAMIL,1.35096755912522,103.885120050588,296 LORONG AH SOO PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY) SINGAPORE 536742
MILLENNIA INSTITUTE,60 Bukit Batok West Avenue 8   ,658965,63023767,na,millennia_inst@moe.edu.sg,Bukit Batok (NS 2),"157, 174, 174e, 178, 506, 870, 941, 991, 993",MR LOO MING YAW,MR LIN GUOJING,MR TAN KENG CHEONG,MR DAVID ALLAN D'SOUZA,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,CENTRALISED INSTITUTE,No,No,No,No,CHINESE,MALAY,TAMIL,1.35031939200985,103.741593577684,60 BUKIT BATOK WEST AVENUE 8 MILLENNIA INSTITUTE SINGAPORE 658965
MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8   ,538786,65101599,na,MONTFORT_JS@MOE.EDU.SG,Hougang MRT & Bus Interchange,"74,88,101,147,161,",MR TAN BOON HONG VICTOR,MADAM POH LEE SIEW,MR TAN WEE BOON,na,na,na,na,HOUGANG,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.37382444075979,103.889307782925,52 HOUGANG AVENUE 8 MONTFORT JUNIOR SCHOOL SINGAPORE 538786
